ds,yhat,yhat_lower,yhat_upper
2022-01-01,224.66724434067234,195.97593808327284,254.1101865094281
2022-01-02,225.47592577022286,197.22829270272553,252.88907113372315
2022-01-03,224.66074208973825,196.08907109446125,254.01793322730845
2022-01-04,223.76648958948658,196.9086584139702,254.20209740214844
2022-01-05,226.21446029150516,198.78573974689593,254.723603991225
2022-01-06,224.7275298777781,195.74556690811409,253.00850440430085
2022-01-07,225.72921770726094,193.85384754097674,254.16303363874746
2022-01-08,223.08430322955775,192.8326536842332,252.6640908995936
2022-01-09,223.89298465911003,196.09236441357905,253.16500613586547
2022-01-10,223.07780097862093,192.55207534191536,249.95554256766243
2022-01-11,222.18354847838094,192.45107876352057,250.31948411608522
2022-01-12,224.6315191804,196.3310925565945,253.1235558007308
2022-01-13,223.14458876666666,192.7572459784941,253.18908196255902
2022-01-14,224.1462765961502,196.35604278089016,252.9183469193478
2022-01-15,221.5013621184477,192.86148857635374,250.98655703075886
2022-01-16,222.31004354800444,193.50701785482272,251.51260494398753
2022-01-17,221.49485986751122,193.21643661896877,250.98166562563654
2022-01-18,220.60060736727536,192.37684840081224,249.99634080411954
2022-01-19,223.0485780692813,193.87318164398226,253.9736041157044
2022-01-20,221.56164765555522,192.76142784627825,250.45994031582978
2022-01-21,222.56333548504028,193.18576407912957,252.12109100043455
2022-01-22,219.9184210073322,192.7028212916713,248.9069752128472
2022-01-23,220.7271024368843,190.34556221985133,250.45413614916276
2022-01-24,219.91191875641096,190.06234312767603,248.4610225357856
2022-01-25,219.01766625744463,190.92177642510404,245.91788595640188
2022-01-26,221.46563696074767,193.85656090014652,249.36945885480355
2022-01-27,219.97870654830794,188.93832427372428,250.67130514227475
2022-01-28,220.98039437907897,191.5328387878146,251.2992986160488
2022-01-29,218.33547990265566,187.903892693434,246.96987848186748
2022-01-30,219.14416133350593,190.2472262666035,248.1352223874839
2022-01-31,218.32897765431576,190.38830478624067,244.9005097492908
2022-02-01,217.43472515535353,188.33979946946192,245.05958942131727
2022-02-02,219.88269585864896,190.07830746351942,248.25235116328923
2022-02-03,218.39576544621025,191.00487001979985,245.98229715899532
2022-02-04,219.39745327698532,189.26103532543146,250.60778859359414
2022-02-05,216.7525388005656,186.3201502444116,245.72547139091589
2022-02-06,217.56122023140762,189.18106958194886,244.99117410984994
2022-02-07,216.74603655221296,188.73693920172087,243.46565776378037
2022-02-08,215.85178405325598,187.9813931290983,245.56919939510462
2022-02-09,218.29975475655027,190.10747604165397,247.06812109244046
2022-02-10,216.8128243441149,189.13633370917523,245.95062022759132
2022-02-11,217.81451217488737,191.9711995494353,245.7388497675255
2022-02-12,215.16959769846466,186.24259408251368,242.47758145695727
2022-02-13,215.97827912931655,187.16526123158573,246.04844247837116
2022-02-14,215.16309545011777,185.76158107035923,243.323981531582
2022-02-15,214.26884295115562,184.89776364856823,241.30496289542964
2022-02-16,216.7168136544596,188.72433465609612,244.61770979943626
2022-02-17,215.2298832420172,188.4352485423223,244.9312032344662
2022-02-18,216.23130944329543,187.79341501822026,244.12864790927773
2022-02-19,213.58613333737605,183.96088052978527,243.61187375021223
2022-02-20,214.39455313873574,187.19829726307074,245.18633665207986
2022-02-21,213.5791078300287,184.9778436550736,241.8257859023255
2022-02-22,212.68459370157524,181.5883972024812,241.04292237772407
2022-02-23,215.1323027753815,187.3877801831961,242.7949570057934
2022-02-24,213.64511073344508,184.4773904375421,241.38551043020138
2022-02-25,214.64653693472147,185.05170223407785,243.84292971380873
2022-02-26,212.0013608288054,182.24160491208337,242.74165137047243
2022-02-27,212.80978063014746,185.6640518012239,242.48686072071098
2022-02-28,211.99433532146512,184.85863725373542,239.3983503410955
2022-03-01,211.09982119300815,179.44789604856513,239.15750131742558
2022-03-02,213.5475302668108,184.17505395021584,241.27720282087796
2022-03-03,212.06033822487296,183.51338088310078,242.74197663156409
2022-03-04,213.0617644261501,185.82781274383385,241.5840416127008
2022-03-05,210.41658832023393,181.80438782535916,238.45973145514887
2022-03-06,211.22500812157313,182.02029218576763,242.6435425192295
2022-03-07,210.40956281288635,184.0466318404787,239.48118980345194
2022-03-08,209.51504868443465,177.3228063898729,237.3698584362612
2022-03-09,211.9627577582347,183.14677459869637,237.80637519226036
2022-03-10,210.47556571630005,181.15222207085407,240.6518650769342
2022-03-11,211.47699191757354,181.8025421033139,240.85869075533319
2022-03-12,208.83181581165692,179.35469208140316,237.3304736176739
2022-03-13,209.640185903279,181.110237445608,237.13312607871453
2022-03-14,208.82469088486292,179.68100308723479,235.55839431312384
2022-03-15,207.93012704668647,178.44869695783203,236.587963306926
2022-03-16,210.3777864107559,182.30676469506548,239.68749214811004
2022-03-17,208.890544659092,179.66901156573746,237.25088478396628
2022-03-18,209.89192115064003,182.52912360374597,237.94376066510853
